GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SensorSimulator,tn.esprit.sensorsimulator.Entity,SeedLog,7,0,2,0,3,0,2,0,1,0
SensorSimulator,tn.esprit.sensorsimulator.Entity,SensorType,0,33,0,0,0,6,0,1,0,1
SensorSimulator,tn.esprit.sensorsimulator.Entity,SensorReading,14,0,4,0,5,0,3,0,1,0
SensorSimulator,tn.esprit.sensorsimulator.Entity,SensorStatus,0,21,0,0,0,4,0,1,0,1
SensorSimulator,tn.esprit.sensorsimulator.Entity,Sensor,18,16,5,5,2,6,5,1,0,1
SensorSimulator,tn.esprit.sensorsimulator.Entity,AbnormalEvent,14,0,4,0,5,0,3,0,1,0
SensorSimulator,tn.esprit.sensorsimulator.Entity,AbnormalEventType,0,39,0,0,0,7,0,1,0,1
SensorSimulator,tn.esprit.sensorsimulator.Config,DataSeeder,8,244,2,4,2,74,2,6,0,5
SensorSimulator,tn.esprit.sensorsimulator.Controller,SimulationController,247,4,2,0,50,1,13,1,12,1
SensorSimulator,tn.esprit.sensorsimulator.Controller,SeedController,108,4,4,0,23,1,6,1,4,1
SensorSimulator,tn.esprit.sensorsimulator.Controller,SensorController,56,4,0,0,13,1,6,1,6,1
SensorSimulator,tn.esprit.sensorsimulator,SensorSimulatorApplication,5,3,0,0,2,1,1,1,1,1
SensorSimulator,tn.esprit.sensorsimulator.Service,SimulationEngine,2163,136,155,4,357,36,110,5,23,5
SensorSimulator,tn.esprit.sensorsimulator.Service,SeedService,1438,4,100,0,229,1,64,1,12,1
SensorSimulator,tn.esprit.sensorsimulator.Service,SimulationEngine.EvictingQueue,36,0,2,0,7,0,5,0,4,0
SensorSimulator,tn.esprit.sensorsimulator.Service,SensorService,0,162,0,0,0,36,0,9,0,9
SensorSimulator,tn.esprit.sensorsimulator.Service,AlertIntegrationService,278,17,23,0,64,6,19,2,5,2
